"Operational State","Connection State","Rate","Name","Protection","From Node #1","From Port #1","To Node #1","To Port #1","From Node #2","From Port #2","To Node #2","To Port #2","PM 15M","PM 24H","Connection Type","Deploy Type","Category","Alarm Status","Server Alarm Status","Service State","OLC State","Implementation Status","Allow ASON Resources","ASAP","Alias","Alias 2","Order Number","Customer","Group Order Name","Created Date","Enable NIM","Latest Note","NPA Name","Channel Width","Actual Latency - WORK (microsec)","Actual Latency - PROTECT(microsec)","Latency Status","Latency Timestamp","Reservation","Reservation Expiry Date","Test Status","BER Measurement Result","TCM Enabled","TCM ASAP Enabled","Wave Key","NML ASAP","From NE #1","To NE #1","ASE Control Mode","Order ID"
"Up","Commissioned","1GbE","EAS_PFR_PS36_01-01-12-19_PLI_PS36_01-01-12-19_1G","SNC-N Server Protected","EAS-PFR-1","GBE-1-1-12-19","EAS-PLI-1","GBE-1-1-12-19","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","FR01 BSC  EPTPE-0_1_RAN_IP/MPLS","A44737","A44737","","g-EAS_PFR_PS36_01-01-12-19_PLI_PS36_01-01-12-19_1G","Tue Dec 03 2019 11:52:02 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","EAS-PFR-1#OCS","EAS-PLI-1#OCS","NA","135943"
"Up","Commissioned","1GbE","EAS_PFR_PS36_01-01-12-20_PLI_PS36_01-01-12-20_1G","SNC-N Server Protected","EAS-PFR-1","GBE-1-1-12-20","EAS-PLI-1","GBE-1-1-12-20","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","FR01 BSC  EPTPE-1_1_RAN_IP/MPLS","A44740","A44740","","g-EAS_PFR_PS36_01-01-12-20_PLI_PS36_01-01-12-20_1G","Tue Dec 03 2019 11:53:14 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","EAS-PFR-1#OCS","EAS-PLI-1#OCS","NA","135947"
"Up","Commissioned","1GbE","EAS_PFR_PS36_01-01-12-22_PLI_PS36_01-01-12-22_1G","SNC-N Server Protected","EAS-PFR-1","GBE-1-1-12-22","EAS-PLI-1","GBE-1-1-12-22","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","FR02 BSC  EPTPE-0_1_RAN_IP/MPLS","A44743","A44743","","g-EAS_PFR_PS36_01-01-12-22_PLI_PS36_01-01-12-22_1G","Tue Dec 03 2019 12:00:49 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","EAS-PFR-1#OCS","EAS-PLI-1#OCS","NA","135951"
"Up","Commissioned","1GbE","EAS_PFR_PS36_01-01-12-23_PLI_PS36_01-01-12-23_1G","SNC-N Server Protected","EAS-PFR-1","GBE-1-1-12-23","EAS-PLI-1","GBE-1-1-12-23","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","FR02 BSC  EPTPE-1_1_RAN_IP/MPLS","A44747","A44747","","g-EAS_PFR_PS36_01-01-12-23_PLI_PS36_01-01-12-23_1G","Tue Dec 03 2019 12:02:10 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","EAS-PFR-1#OCS","EAS-PLI-1#OCS","NA","135956"
"Up","Commissioned","1GbE","EAS_PFR_PS36_01-02-12-01_PLI_PS36_01-02-12-01_1G","SNC-N Server Protected","EAS-PFR-1","GBE-1-2-12-1","EAS-PLI-1","GBE-1-2-12-1","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","FR03 BSC  EPTPE-0_1_RAN_IP/MPLS","A44751","A44751","","g-EAS_PFR_PS36_01-02-12-01_PLI_PS36_01-02-12-01_1G","Tue Dec 03 2019 12:06:16 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","EAS-PFR-1#OCS","EAS-PLI-1#OCS","NA","135962"
"Up","Commissioned","1GbE","EAS_PFR_PS36_01-02-12-02_PLI_PS36_01-02-12-02_1G","SNC-N Server Protected","EAS-PFR-1","GBE-1-2-12-2","EAS-PLI-1","GBE-1-2-12-2","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","FR03 BSC  EPTPE-1_1_RAN_IP/MPLS","A44754","A44754","","g-EAS_PFR_PS36_01-02-12-02_PLI_PS36_01-02-12-02_1G","Tue Dec 03 2019 12:08:16 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","EAS-PFR-1#OCS","EAS-PLI-1#OCS","NA","135966"
"Up","Commissioned","1GbE","EAS_PFR_PS36_01-02-12-04_PLI_PS36_01-02-12-04_1G","SNC-N Server Protected","EAS-PFR-1","GBE-1-2-12-4","EAS-PLI-1","GBE-1-2-12-4","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","FR04 BSC  EPTPE-0_1_RAN_IP/MPLS","A44758","A44758","","g-EAS_PFR_PS36_01-02-12-04_PLI_PS36_01-02-12-04_1G","Tue Dec 03 2019 12:11:54 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","EAS-PFR-1#OCS","EAS-PLI-1#OCS","NA","135971"
"Up","Commissioned","1GbE","EAS_PFR_PS36_01-02-12-05_PLI_PS36_01-02-12-05_1G","SNC-N Server Protected","EAS-PFR-1","GBE-1-2-12-5","EAS-PLI-1","GBE-1-2-12-5","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Cleared","In Service","In Service","Completed","No","Not Set","FR04 BSC  EPTPE-1_1_RAN_IP/MPLS","A44761","A44761","","g-EAS_PFR_PS36_01-02-12-05_PLI_PS36_01-02-12-05_1G","Tue Dec 03 2019 12:13:04 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","EAS-PFR-1#OCS","EAS-PLI-1#OCS","NA","135975"
"Up","Commissioned","1GbE","SGS_JFL_PS64_01-02-46-20_SGC_MTA_PS36_01-01-46-12_1G_1","Unprotected","SGS-JFL-1","GBE-1-2-46-20","SGC-MTA-1","GBE-1-1-46-12","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","SGS_JFL_PS64_01-02-46-20_SGC_MTA_PS36_01-01-46-12_1G_BNG","A44838","A44838","","g-SGS_JFL_PS64_01-02-46-20_SGC_MTA_PS36_01-01-46-12_1G_1","Thu Dec 05 2019 09:24:48 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","SGS-JFL-1#OCS","SGC-MTA-1#OCS","NA","136399"
"Up","Commissioned","10GbE","SGC_MTA_PS64_01-02-14-09_KZN_DMO_PS64_01-01-09-04_10G_1","SNC-N Server Protected","SGC-MTA-1","GBE10-1-2-14-9","KZN-DMO-PSS-1","GBE10-1-1-9-4","","","","","Started","Started","Path","Add","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","CDN_SGC_MTA_PS64_01-02-14-09_KZN_DMO_PS64_01-01-09-04_10G_1","A44923","A44923","","g-DMO-MTA","Tue Dec 10 2019 08:21:02 GMT+0200 (South Africa Standard Time)","N/A","CDN8","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","SGC-MTA-1#OCS","KZN-DMO-PSS-1#OCS","NA","136632"
"Up","Commissioned","10GbE","KZN_DMO_PS64_01-03-15-07_DFA_SG_PS36_01-02-20-05_10G_1","SNC-N Server Protected","KZN-DMO-PSS-1","GBE10-1-3-15-7","DFA-SG-1","GBE10-1-2-20-5","","","","","Started","Started","Path","Discover","Managed Plane","Cleared","Minor","In Service","In Service","Completed","No","Not Set","TID:772806_DMO-SG_Frasers_CC_8615/1-SG_8665-2_POC2_10G (DFA31-0000652): IP/MPLS","DV45066","DV45066","","g-KZN_DMO_PS64_01-03-15-07_DFA_SG_PS36_01_ DSR:1","Tue Jan 14 2020 09:56:55 GMT+0200 (South Africa Standard Time)","N/A","","BBNS","","0","0","NOT SUPPORTED","","N/A","","None","","None","None","N/A","default ASAP","KZN-DMO-PSS-1#OCS","DFA-SG-1#OCS","NA","137026"
